ward_id,area_sqkm,hospitals_min,schools_min,transport_node_min,highway_access_min
1,8.93,5.06,60.87,83.44,5.91
2,10.46,3.83,12.24,90.55,8.63
3,7.8,4.07,52.53,70.62,8.42
4,8.6,3.47,35.61,78.08,10.36
5,10.84,2.27,24.23,25.86,4.38
6,16.28,3.66,14.57,154.49,0.87
7,15.14,7.54,69.58,117.31,4.4
8,14.05,2.72,41.44,70.73,0.34
9,12.62,3.07,14.17,94.59,3.81
10,9.75,3.14,5.6,55.62,4.13
11,9.72,3.72,10.35,44.87,2.41
12,22.43,5.19,20.11,125.76,0.21
13,24.44,6.34,21.29,55.8,1.95
14,7.7,3.68,44.58,30.96,6.92
15,16.86,13.21,73.19,185.34,0.43
16,21.79,11.54,90.29,125.51,6.93
17,9.55,5.42,22.19,85.61,2.93
18,8.67,3.71,18.39,40.24,3.14
19,18.45,11.28,53.51,85.89,5.99
